t,phi,dphi,A,B,R,gamma_eff
23.055763940985248,1.1219872183668953,0.13059105654235995,0.7784090906711603,0.7806267803678896,0.9999999999804807,0.05750327625209854
23.080770192548137,1.1252270586305693,0.12849685886540912,0.7784090906790353,0.7806267803760021,0.9999999999822886,0.05750327624851542
23.10577644411103,1.1284119505031611,0.12619663822313398,0.7784090906866536,0.7806267803838639,0.9999999999839024,0.057503276245046024
23.13078269567392,1.1315367705106436,0.12369273583909955,0.7784090906940229,0.7806267803914828,0.9999999999853431,0.0575032762416869
23.15578894723681,1.1345964589641884,0.12098791487157551,0.7784090907011503,0.7806267803988661,0.9999999999866285,0.05750327623843478
23.1807951987997,1.1375860307150536,0.11808536482760491,0.7784090907080432,0.7806267804060208,0.9999999999877756,0.057503276235286456
23.205801450362593,1.140500585514918,0.11498870407043048,0.7784090907147089,0.7806267804129541,0.999999999988799,0.057503276232238686
23.23080770192548,1.1433353192652558,0.11170198101023755,0.7784090907211543,0.7806267804196726,0.9999999999897122,0.05750327622928845
23.255813953488374,1.1460855341466718,0.10822967392977988,0.7784090907273863,0.7806267804261829,0.9999999999905269,0.05750327622643264
23.280820205051263,1.148746650004991,0.10457668863630934,0.7784090907334116,0.7806267804324912,0.9999999999912538,0.05750327622366846
23.305826456614156,1.151314214413008,0.10074835525377604,0.7784090907392367,0.7806267804386039,0.9999999999919023,0.05750327622099304
23.330832708177045,1.1537839136184442,0.09675042247409188,0.7784090907448681,0.7806267804445267,0.9999999999924805,0.05750327621840355
23.355838959739938,1.156151582784571,0.0925890506340029,0.7784090907503118,0.7806267804502655,0.999999999992996,0.05750327621589737
23.380845211302827,1.1584132160628542,0.08827080296771178,0.7784090907555743,0.7806267804558259,0.9999999999934555,0.057503276213471774
23.405851462865716,1.160564976819419,0.08380263462291504,0.778409090760661,0.7806267804612134,0.9999999999938647,0.057503276211124374
23.43085771442861,1.1626032069923933,0.07919188069881346,0.778409090765578,0.7806267804664332,0.9999999999942286,0.057503276208852566
23.455863965991497,1.164524436570093,0.0744462419010218,0.7784090907703306,0.7806267804714904,0.9999999999945518,0.05750327620665405
23.48087021755439,1.166325392578491,0.06957376859415665,0.7784090907749243,0.7806267804763899,0.9999999999948384,0.057503276204526485
23.50587646911728,1.1680030074681296,0.06458284360074393,0.7784090907793644,0.7806267804811368,0.9999999999950917,0.057503276202467576
23.53088272068017,1.1695544272955372,0.0594821628751277,0.7784090907836558,0.7806267804857355,0.9999999999953149,0.057503276200475135
23.55588897224306,1.1709770193035705,0.05428071477154586,0.7784090907878036,0.7806267804901907,0.9999999999955107,0.057503276198547094
23.580895223805953,1.1722683788888704,0.04898775813903297,0.7784090907918125,0.7806267804945068,0.9999999999956812,0.05750327619668137
23.605901475368842,1.1734263361192938,0.043612798714501064,0.7784090907956871,0.7806267804986879,0.9999999999958287,0.05750327619487598
23.630907726931735,1.1744489616160465,0.038165564252406164,0.7784090907994318,0.7806267805027383,0.9999999999959547,0.05750327619312905
23.655913978494624,1.175334571751057,0.03265597874035445,0.778409090803051,0.7806267805066619,0.9999999999960607,0.05750327619143861
23.680920230057517,1.176081733226997,0.027094135432572466,0.7784090908065489,0.7806267805104627,0.9999999999961481,0.05750327618980289
23.705926481620406,1.1766892669714597,0.021490268973482742,0.7784090908099295,0.7806267805141445,0.9999999999962177,0.057503276188220154
23.730932733183298,1.1771562513150728,0.015854726779362924,0.7784090908131966,0.7806267805177108,0.9999999999962703,0.05750327618668867
23.755938984746187,1.1774820244437718,0.010197939852243435,0.7784090908163541,0.7806267805211653,0.9999999999963065,0.05750327618520687
23.78094523630908,1.177666186119216,0.004530393134569796,0.7784090908194057,0.7806267805245114,0.9999999999963269,0.057503276183773114
